snapped_at,price,market_cap,total_volume
2025-02-09 00:00:00 UTC,0.253157898,37467768586,947251264.9
2025-02-10 00:00:00 UTC,0.249349293,36877324693,1210322938
2025-02-11 00:00:00 UTC,0.254853588,37702629309,1302577374
2025-02-12 00:00:00 UTC,0.253146745,37524755445,1681519860
2025-02-13 00:00:00 UTC,0.264043552,39019744666,1931125154
2025-02-14 00:00:00 UTC,0.262315339,38837304060,1479090094
2025-02-15 00:00:00 UTC,0.271985378,40240694263,2264906099
2025-02-16 00:00:00 UTC,0.27164117,40217862491,1562393660
2025-02-17 00:00:00 UTC,0.265457345,39283644110,931181654.4
2025-02-18 00:00:00 UTC,0.258086759,38181261512,1334819067
2025-02-19 00:00:00 UTC,0.250849615,37105544733,1568385561
2025-02-20 00:00:00 UTC,0.254536612,37664544800,1002221875
2025-02-21 00:00:00 UTC,0.254897832,37726962769,1128230682
2025-02-22 00:00:00 UTC,0.23944459,35481966451,2027962912
2025-02-23 00:00:00 UTC,0.246781691,36553261423,926901595
2025-02-24 00:00:00 UTC,0.243109839,35993016890,695340046.2
2025-02-25 00:00:00 UTC,0.210187062,31057933810,2386904164
2025-02-26 00:00:00 UTC,0.211323764,31297049625,3294992147
2025-02-27 00:00:00 UTC,0.202567765,30005439354,2010954340
2025-02-28 00:00:00 UTC,0.206874351,30625263535,1358019957
2025-03-01 00:00:00 UTC,0.202090703,29923842132,2576697271
2025-03-02 00:00:00 UTC,0.206364332,30553755358,1157646034
2025-03-03 00:00:00 UTC,0.239848263,35490734904,3097274702
2025-03-04 00:00:00 UTC,0.19920802,29478814182,2740809896
2025-03-05 00:00:00 UTC,0.199210218,29486719913,2339671817
2025-03-06 00:00:00 UTC,0.204725436,30372562020,1407399494
2025-03-07 00:00:00 UTC,0.201795439,29909473229,1745673857
2025-03-08 00:00:00 UTC,0.198188998,29344409115,1799280523
2025-03-09 00:00:00 UTC,0.192008557,28463472616,920959171.3
2025-03-10 00:00:00 UTC,0.167818804,24907553214,1740953628
2025-03-11 00:00:00 UTC,0.154738023,22967908412,2314515671
2025-03-12 00:00:00 UTC,0.164538627,24423796971,2372987954
2025-03-13 00:00:00 UTC,0.172436934,25550714731,1624350642
2025-03-14 00:00:00 UTC,0.164948869,24473177708,1450396812
2025-03-15 00:00:00 UTC,0.171819556,25500418387,1034276360
2025-03-16 00:00:00 UTC,0.176145978,26145240614,720298076.8
2025-03-17 00:00:00 UTC,0.168301954,24983784095,927114505.6
2025-03-18 00:00:00 UTC,0.173620419,25780933531,1018336232
2025-03-19 00:00:00 UTC,0.16827611,24944528517,1069389408
2025-03-20 00:00:00 UTC,0.178003485,26442796451,1320951170
2025-03-21 00:00:00 UTC,0.16956215,25198496225,1038017899
2025-03-22 00:00:00 UTC,0.167005751,24802337476,762513837.6
2025-03-23 00:00:00 UTC,0.167212407,24809123674,436636928.7
2025-03-24 00:00:00 UTC,0.172177692,25567291760,571990345.5
2025-03-25 00:00:00 UTC,0.182616252,27091109234,1592931137
2025-03-26 00:00:00 UTC,0.190982072,28357774761,1696540511
2025-03-27 00:00:00 UTC,0.194932248,28936205832,2258885478
2025-03-28 00:00:00 UTC,0.190741071,28336140460,1368405082
2025-03-29 00:00:00 UTC,0.180276885,26786788253,1384586893
2025-03-30 00:00:00 UTC,0.169556296,25196649883,1145772000
2025-03-31 00:00:00 UTC,0.166424926,24723665521,830307371.9
2025-04-01 00:00:00 UTC,0.166584163,24715772967,1345691695
2025-04-02 00:00:00 UTC,0.174268905,25907094165,1226397943
2025-04-03 00:00:00 UTC,0.164241452,24434984200,1764099721
2025-04-04 00:00:00 UTC,0.162019468,24103024325,1222246072
2025-04-05 00:00:00 UTC,0.171056076,25431701591,1761401248
2025-04-06 00:00:00 UTC,0.169368347,25118525002,641157289.5
2025-04-07 00:00:00 UTC,0.148943254,22189098484,1301616556
2025-04-08 00:00:00 UTC,0.14918497,22253535629,3584892367
2025-04-09 00:00:00 UTC,0.141981515,21106734800,1942313542
2025-04-10 00:00:00 UTC,0.160558945,23903967353,2380965897
2025-04-11 00:00:00 UTC,0.153902988,22901498580,1258486079
2025-04-12 00:00:00 UTC,0.159988998,23803360359,884950609.7
2025-04-13 00:00:00 UTC,0.167664978,24955320228,878035311.5
2025-04-14 00:00:00 UTC,0.162669377,24195571585,883332811.4
2025-04-15 00:00:00 UTC,0.158599493,23606479057,981131649.7
2025-04-16 00:00:00 UTC,0.153466099,22838512654,766817730.6
2025-04-17 00:00:00 UTC,0.154717556,23025656395,811820241.6
2025-04-18 00:00:00 UTC,0.155871538,23201318599,576830755
2025-04-19 00:00:00 UTC,0.1576167,23466473790,463491541.1
2025-04-20 00:00:00 UTC,0.15731122,23421890793,465683707.3
2025-04-21 00:00:00 UTC,0.155029795,23087095434,627635503.5
